Skip to main content Search Search Search Toggle navigation Cornell University Registrar Classes + Enrollment Class Roster Courses of Study Courses of Study Archive Student Essentials Gateway Courses Prorated Tuition Student Center FAQ Classes and Enrollment FAQ University Registration Calendars + Exams Academic Calendar Final Exam Policies Spring Prelim Schedule Spring Final Exam Schedule Fall Prelim Exam Schedule Fall Final Exam Schedule Grades + Transcripts Grading Median Grades Ordering Transcripts Transcript FAQ Transcript Keys Validating an eTranscript Service + Resources Apostille Certifications University Registrar Directory College Advising Directory College Registrar Directory Diploma Information Disability Accommodations FERPA ID Cards Mental Health at Cornell Names and Name Changes Use of Student Data Veteran Education Benefits Building Codes Faculty + Staff Faculty Center/Advisor Center Advisor Center FAQ Opscan Scanning Service Changing CIP Codes Data Requests Program Registration For Registrar Staff Spring Final Exam Schedule NOTE: These dates may include Religious Holidays for some students. NYS Education Law §224-A mandates that faculty make available an opportunity to make up any examination missed because of religious beliefs. In order to facilitate preparation of makeup exams, students intending to be absent in order to observe any of these holidays are requested to notify the instructor by Friday, April 1, 2022. For additional information about Final Exam policies, see the Faculty Handbook. 
Class              date          time     exam location or date due
CRP 8902 718     5/19/2022      4:30 PM   Final Deliverable due
CRP 8904 714     5/19/2022      4:30 PM   Final Deliverable due
CRP 8904 718     5/19/2022      4:30 PM   Final Deliverable due
CRP 8906 710     5/19/2022      4:30 PM   Final Deliverable due

CS 1110 001      5/15/2022      7:00 PM   Barton Hall 100 Center, Barton Hall 100 East
CS 1112 001      5/14/2022      9:00 AM   Statler Hall 185
CS 1340 001      5/18/2022      9:00 AM   Barton Hall 100 Center, Barton Hall 100 East, Barton Hall 100 West
CS 1380 001      5/14/2022      2:00 PM   Hollister Hall B14
CS 1710 001      5/15/2022      2:00 PM   Statler Hall 185
CS 2110 001      5/16/2022      9:00 AM   Barton Hall 100 Center, Barton Hall 100 East, Barton Hall 100 West
CS 2800 001      5/14/2022      2:00 PM   Barton Hall 100 Center, Barton Hall 100 East, Barton Hall 100 West
CS 3110 001      5/18/2022     12:00 PM   Final Deliverable due
CS 3420 001      5/18/2022      4:30 PM   Final Deliverable due
CS 4120 001      5/16/2022     12:00 PM   Final Deliverable due
CS 4160 001      5/14/2022      9:00 AM   Hollister Hall B14
CS 4220 001      5/18/2022     12:00 PM   Final Deliverable due
CS 4410 001      5/19/2022      7:00 PM   Barton Hall 100 West, Statler Hall 196
CS 4411 001      5/16/2022     12:00 PM   Final Deliverable due
CS 4670 001      5/19/2022      9:00 AM   Statler Hall 185
CS 4700 001      5/16/2022      7:00 PM   Baker Laboratory 200
CS 4701 001      5/19/2022      4:30 PM   Final Deliverable due
CS 4744 001      5/18/2022     12:00 PM   Final Deliverable due
CS 4780 001      5/18/2022      2:00 PM   Barton Hall 100 West
CS 4789 001      5/16/2022      7:00 PM   Statler Hall 196
CS 4810 001      5/16/2022      9:00 AM   Thurston Hall 205
CS 4820 001      5/17/2022      2:00 PM   Statler Hall 185
CS 4850 001      5/19/2022      9:00 AM   Gates Hall G01
CS 4852 001      5/16/2022      9:00 AM   Goldwin Smith Hall G64 Kau Aud, Klarman Hall KG70
CS 5120 001      5/16/2022     12:00 PM   Final Deliverable due
CS 5160 001      5/14/2022      9:00 AM   Hollister Hall B14
CS 5223 001      5/18/2022     12:00 PM   Final Deliverable due
CS 5410 001      5/19/2022      7:00 PM   Barton Hall 100 West, Statler Hall 196
CS 5411 001      5/16/2022     12:00 PM   Final Deliverable due
CS 5670 001      5/19/2022      9:00 AM   Statler Hall 185
CS 5700 001      5/16/2022      7:00 PM   Baker Laboratory 200
CS 5780 001      5/18/2022      2:00 PM   Barton Hall 100 West
CS 5789 001      5/16/2022      7:00 PM   Statler Hall 196
CS 5820 001      5/17/2022      2:00 PM   Statler Hall 185
CS 5850 001      5/19/2022      9:00 AM   Gates Hall G01
CS 6110 001      5/20/2022      2:00 PM   Hollister Hall 110
CS 6120 001      5/19/2022      4:30 PM   Final Deliverable due
CS 6210 001      5/18/2022      4:30 PM   Final Deliverable due
CS 6682 001      5/16/2022     12:00 PM   Final Deliverable due
CS 6740 001      5/18/2022      4:30 PM   Final Deliverable due
CS 6751 001      5/15/2022      2:00 PM   Statler Hall 198

DEA 1150 501     5/19/2022      4:30 PM   Final Deliverable due
DEA 1150 502     5/19/2022      4:30 PM   Final Deliverable due
DEA 2200 001     5/18/2022     12:00 PM   Final Deliverable due
DEA 2203 501     5/18/2022      4:30 PM   Final Deliverable due
DEA 2750 101     5/19/2022     12:00 PM   Final Deliverable due
DEA 3050 001     5/19/2022     12:00 PM   Final Deliverable due
DEA 3306 501     5/18/2022      4:30 PM   Final Deliverable due
DEA 4040 001     5/20/2022      2:00 PM   Savage Hall 200
DEA 4220 001     5/19/2022      4:30 PM   Final Deliverable due
DEA 4402 501     5/18/2022      4:30 PM   Final Deliverable due
DEA 5540 501     5/18/2022      4:30 PM   Final Deliverable due
DEA 6100 101     5/16/2022      4:30 PM   Final Deliverable due
DEA 6406 501     5/18/2022      4:30 PM   Final Deliverable due

DESIGN 4197 101  5/16/2022     12:00 PM   Final Deliverable due
DESIGN 6197 101  5/16/2022     12:00 PM   Final Deliverable due

DSOC 1101 001    5/17/2022      2:00 PM   Kennedy Hall 116 Call Aud
DSOC 1200 101    5/18/2022     12:00 PM   Final Deliverable due
DSOC 1200 102    5/18/2022     12:00 PM   Final Deliverable due
DSOC 1200 103    5/16/2022      4:30 PM   Final Deliverable due
DSOC 1200 104    5/19/2022      4:30 PM   Final Deliverable due
DSOC 2090 001    5/14/2022      2:00 PM   Baker Laboratory 200
DSOC 2710 001    5/18/2022      7:00 PM   Goldwin Smith Hall G64 Kau Aud
DSOC 3130 001    5/15/2022      2:00 PM   M Van Rensselaer Hall G151
DSOC 3240 001    5/19/2022      4:30 PM   Final Deliverable due
DSOC 3510 001    5/19/2022      4:30 PM   Final Deliverable due
DSOC 3700 001    5/16/2022     12:00 PM   Final Deliverable due
DSOC 4700 001    5/18/2022      4:30 PM   Final Deliverable due
DSOC 4750 001    5/17/2022      2:00 PM   Savage Hall 100
DSOC 4940 001    5/18/2022      4:30 PM   Final Deliverable due
DSOC 4940 103    5/18/2022      4:30 PM   Final Deliverable due
DSOC 4940 104    5/18/2022      4:30 PM   Final Deliverable due
DSOC 5130 001    5/15/2022      2:00 PM   M Van Rensselaer Hall G151
DSOC 5750 001    5/17/2022      2:00 PM   Savage Hall 100
DSOC 6620 001    5/18/2022     12:00 PM   Final Deliverable due
DSOC 6940 001    5/18/2022      4:30 PM   Final Deliverable due
DSOC 6940 002    5/18/2022      4:30 PM   Final Deliverable due
DSOC 6940 104    5/18/2022      4:30 PM   Final Deliverable due

EAS 1180 001     5/19/2022      2:00 PM   Olin Hall 155
EAS 1600 001     5/14/2022      2:00 PM   Kimball Hall B11
EAS 1700 001     5/17/2022      2:00 PM   Online Exam
EAS 2250 001     5/20/2022      2:00 PM   Phillips Hall 203
EAS 2500 001     5/16/2022      9:00 AM   Hollister Hall 320
EAS 2680 001     5/18/2022     12:00 PM   Final Deliverable due
EAS 3420 001     5/17/2022      7:00 PM   Bard Hall 140
EAS 3520 001     5/15/2022      2:00 PM   Snee Hall 1120
EAS 3555 001     5/18/2022      2:00 PM   Warren Hall 175
EAS 3880 001     5/17/2022      4:30 PM   Final Deliverable due
EAS 4370 401     5/15/2022      2:00 PM   Upson Hall 146
EAS 4570 001     5/19/2022      4:30 PM   Final Deliverable due
EAS 4710 001     5/18/2022     12:00 PM   Final Deliverable due
EAS 4740 001     5/16/2022      7:00 PM   Snee Hall 1120
EAS 4870 001     5/20/2022      2:00 PM   Snee Hall 1150
EAS 5420 001     5/17/2022      7:00 PM   Bard Hall 140
EAS 5740 001     5/16/2022      7:00 PM   Snee Hall 1120
EAS 5850 001     5/17/2022      4:30 PM   Final Deliverable due
EAS 5870 001     5/20/2022      2:00 PM   Snee Hall 1150
EAS 6370 401     5/15/2022      2:00 PM   Upson Hall 146
EAS 6710 001     5/18/2022     12:00 PM   Final Deliverable due

ECE 1210 001     5/15/2022      2:00 PM   Klarman Hall KG70
ECE 2100 001     5/14/2022      2:00 PM   Thurston Hall 203
ECE 2300 001     5/19/2022      7:00 PM   Olin Hall 255
ECE 2720 001     5/16/2022      7:00 PM   Kimball Hall B11
ECE 2750 001     5/18/2022     12:00 PM   Final Deliverable due
ECE 3100 001     5/16/2022      9:00 AM   Phillips Hall 101, Phillips Hall 203
ECE 3140 001     5/18/2022      4:30 PM   Final Deliverable due
ECE 3150 001     5/18/2022      7:00 PM   Phillips Hall 101
ECE 3600 001     5/16/2022     12:00 PM   Final Deliverable due
ECE 4271 001     5/18/2022      9:00 AM   Phillips Hall 219
ECE 4300 001     5/15/2022      2:00 PM   Statler Hall 291
ECE 4320 001     5/19/2022      7:00 PM   Phillips Hall 203
ECE 4370 001     5/14/2022      2:00 PM   Phillips Hall 213
ECE 4380 001     5/18/2022      4:30 PM   Final Deliverable due
ECE 4520 001     5/19/2022      9:00 AM   Phillips Hall 213
ECE 4670 001     5/18/2022      4:30 PM   Final Deliverable due
ECE 4840 001     5/21/2022      9:00 AM   Phillips Hall 203
ECE 4870 001     5/20/2022      2:00 PM   Snee Hall 1150
ECE 4910 001     5/14/2022      9:00 AM   Statler Hall 165
ECE 4960 001     5/18/2022     12:00 PM   Final Deliverable due
ECE 5090 001     5/14/2022      9:00 AM   Statler Hall 165
ECE 5210 001     5/21/2022      9:00 AM   Phillips Hall 213
ECE 5271 001     5/18/2022      9:00 AM   Phillips Hall 219
ECE 5310 001     5/16/2022      7:00 PM   Phillips Hall 213
ECE 5320 001     5/19/2022      7:00 PM   Phillips Hall 203
ECE 5380 001     5/18/2022      4:30 PM   Final Deliverable due
ECE 5412 001     5/16/2022      4:30 PM   Final Deliverable due
ECE 5550 001     5/19/2022      9:00 AM   Phillips Hall 213
ECE 5555 001     5/16/2022     12:00 PM   Final Deliverable due
ECE 5670 001     5/18/2022      4:30 PM   Final Deliverable due
ECE 5710 001     5/16/2022     12:00 PM   Final Deliverable due
ECE 5720 001     5/16/2022     12:00 PM   Final Deliverable due
ECE 5745 001     5/18/2022      4:30 PM   Final Deliverable due
ECE 5760 001     5/17/2022      4:30 PM   Final Deliverable due
ECE 5780 001     5/19/2022      4:30 PM   Final Deliverable due
ECE 5790 001     5/18/2022     12:00 PM   Final Deliverable due
ECE 5840 001     5/21/2022      9:00 AM   Phillips Hall 203
ECE 5960 001     5/18/2022     12:00 PM   Final Deliverable due
ECE 5960 002     5/17/2022      9:00 AM   Phillips Hall 213
ECE 5960 003     5/18/2022     12:00 PM   Final Deliverable due
ECE 5960 005     5/17/2022     12:00 PM   Final Deliverable due
ECE 6960 001     5/18/2022     12:00 PM   Final Deliverable due

ECON 1110 001    5/17/2022      2:00 PM   Barton Hall 100 Center, Barton Hall 100 East
ECON 1120 001    5/14/2022      2:00 PM   Statler Hall 185
ECON 1120 002    5/19/2022      9:00 AM   Barton Hall 100 Center, Barton Hall 100 East
ECON 2300 001    5/18/2022      2:00 PM   Online Exam
ECON 3030 001    5/16/2022      9:00 AM   Rockefeller Hall 201 Schwartz Aud
ECON 3040 001    5/16/2022      7:00 PM   Uris Hall G01
ECON 3110 001    5/18/2022      9:00 AM   Ives Hall 305
ECON 3120 001    5/19/2022      7:00 PM   Rockefeller Hall 201 Schwartz Aud
ECON 3140 001    5/19/2022      7:00 PM   Goldwin Smith Hall 132 HEC Aud
ECON 3300 001    5/15/2022      2:00 PM   Malott Hall 253
ECON 3430 001    5/16/2022      9:00 AM   Statler Hall 398
ECON 3550 001    5/20/2022      2:00 PM   Warren Hall 101
ECON 3670 001    5/19/2022      9:00 AM   Plant Science Building 233
ECON 3825 001    5/16/2022      9:00 AM   Goldwin Smith Hall G64 Kau Aud, Klarman Hall KG70
ECON 3875 001    5/16/2022      9:00 AM   Warren Hall 150
ECON 4020 001    5/16/2022      7:00 PM   Klarman Hall KG70
ECON 4022 001    5/15/2022      2:00 PM   Uris Hall 438
ECON 4110 001    5/18/2022      4:30 PM   Final Deliverable due
ECON 4210 001    5/16/2022      9:00 AM   Baker Laboratory 200
ECON 4290 101    5/14/2022      9:00 AM   Ives Hall 105
ECON 6100 001    5/20/2022      2:00 PM   Goldwin Smith Hall 132 HEC Aud
ECON 6110 001    5/19/2022      7:00 PM   Uris Hall 262
ECON 6140 001    5/18/2022      9:00 AM   Uris Hall 202
ECON 6200 001    5/14/2022      9:00 AM   Goldwin Smith Hall G76 Lewis
ECON 6420 001    5/16/2022     12:00 PM   Final Deliverable due
ECON 6591 001    5/19/2022      4:30 PM   Final Deliverable due
ECON 6822 001    5/15/2022      2:00 PM   Uris Hall 438
ECON 7240 001    5/18/2022      4:30 PM   Final Deliverable due
ECON 7540 001    5/16/2022     12:00 PM   Final Deliverable due
ECON 7660 001    5/16/2022      2:00 PM   Warren Hall 101

EDUC 2610 101    5/16/2022     12:00 PM   Final Deliverable due
EDUC 2610 102    5/16/2022     12:00 PM   Final Deliverable due
EDUC 2610 104    5/16/2022     12:00 PM   Final Deliverable due
EDUC 2610 105    5/16/2022     12:00 PM   Final Deliverable due
EDUC 2610 106    5/16/2022     12:00 PM   Final Deliverable due
EDUC 2610 107    5/16/2022     12:00 PM   Final Deliverable due
EDUC 2610 108    5/16/2022     12:00 PM   Final Deliverable due
EDUC 2610 109    5/16/2022     12:00 PM   Final Deliverable due
EDUC 2710 001    5/18/2022      7:00 PM   Goldwin Smith Hall G64 Kau Aud
EDUC 3405 001    5/18/2022      4:30 PM   Final Deliverable due
EDUC 3510 001    5/19/2022      4:30 PM   Final Deliverable due
EDUC 4050 001    5/16/2022      4:30 PM   Final Deliverable due
EDUC 4826 101    5/16/2022     12:00 PM   Final Deliverable due
EDUC 4826 102    5/16/2022     12:00 PM   Final Deliverable due
EDUC 5100 001    5/18/2022      4:30 PM   Final Deliverable due
EDUC 5510 001    5/19/2022      4:30 PM   Final Deliverable due
EDUC 5710 001    5/18/2022      7:00 PM   Goldwin Smith Hall G64 Kau Aud

ENGL 1105 101    5/17/2022      4:30 PM   Final Deliverable due
ENGL 1105 102    5/16/2022     12:00 PM   Final Deliverable due
ENGL 1105 103    5/18/2022      4:30 PM   Final Deliverable due
ENGL 1105 104    5/18/2022      4:30 PM   Final Deliverable due
ENGL 1105 105    5/16/2022     12:00 PM   Final Deliverable due
ENGL 1111 101    5/18/2022     12:00 PM   Final Deliverable due
ENGL 1111 102    5/16/2022     12:00 PM   Final Deliverable due
ENGL 1111 103    5/18/2022      4:30 PM   Final Deliverable due
ENGL 1111 104    5/16/2022     12:00 PM   Final Deliverable due
ENGL 1111 105    5/16/2022     12:00 PM   Final Deliverable due
ENGL 1120 101    5/16/2022     12:00 PM   Final Deliverable due
ENGL 1120 102    5/18/2022     12:00 PM   Final Deliverable due
ENGL 1130 101    5/18/2022     12:00 PM   Final Deliverable due
ENGL 1130 102    5/18/2022      4:30 PM   Final Deliverable due
ENGL 1134 101    5/17/2022     12:00 PM   Final Deliverable due
ENGL 1134 102    5/17/2022      4:30 PM   Final Deliverable due
ENGL 1134 103    5/18/2022     12:00 PM   Final Deliverable due
ENGL 1134 104    5/19/2022      4:30 PM   Final Deliverable due
ENGL 1140 102    5/18/2022     12:00 PM   Final Deliverable due
ENGL 1140 103    5/19/2022     12:00 PM   Final Deliverable due
ENGL 1158 101    5/16/2022     12:00 PM   Final Deliverable due
ENGL 1160 101    5/19/2022      4:30 PM   Final Deliverable due
ENGL 1160 103    5/17/2022      4:30 PM   Final Deliverable due
ENGL 1160 104    5/16/2022      4:30 PM   Final Deliverable due
ENGL 1167 101    5/19/2022      4:30 PM   Final Deliverable due
ENGL 1167 102    5/17/2022     12:00 PM   Final Deliverable due
ENGL 1167 103    5/17/2022      4:30 PM   Final Deliverable due
ENGL 1167 104    5/16/2022      4:30 PM   Final Deliverable due
ENGL 1167 105    5/18/2022     12:00 PM   Final Deliverable due
ENGL 1167 106    5/17/2022     12:00 PM   Final Deliverable due
ENGL 1168 101    5/18/2022     12:00 PM   Final Deliverable due
ENGL 1168 102    5/18/2022      4:30 PM   Final Deliverable due
ENGL 1168 103    5/16/2022     12:00 PM   Final Deliverable due
ENGL 1168 104    5/16/2022      4:30 PM   Final Deliverable due
ENGL 1168 105    5/19/2022     12:00 PM   Final Deliverable due
ENGL 1168 106    5/16/2022      4:30 PM   Final Deliverable due
ENGL 1168 107    5/18/2022     12:00 PM   Final Deliverable due
ENGL 1168 108    5/18/2022     12:00 PM   Final Deliverable due
ENGL 1168 109    5/18/2022      4:30 PM   Final Deliverable due
ENGL 1168 110    5/16/2022     12:00 PM   Final Deliverable due
ENGL 1170 101    5/19/2022      4:30 PM   Final Deliverable due
ENGL 1170 102    5/18/2022      4:30 PM   Final Deliverable due
ENGL 1170 103    5/18/2022     12:00 PM   Final Deliverable due
ENGL 1170 104    5/19/2022     12:00 PM   Final Deliverable due
ENGL 1170 105    5/16/2022      4:30 PM   Final Deliverable due
ENGL 1170 106    5/16/2022     12:00 PM   Final Deliverable due
ENGL 1170 107    5/18/2022      4:30 PM   Final Deliverable due
ENGL 1170 108    5/16/2022     12:00 PM   Final Deliverable due
ENGL 1170 109    5/18/2022     12:00 PM   Final Deliverable due
ENGL 1183 101    5/19/2022      4:30 PM   Final Deliverable due
ENGL 1183 102    5/18/2022     12:00 PM   Final Deliverable due
ENGL 1183 103    5/17/2022      4:30 PM   Final Deliverable due
ENGL 1183 104    5/16/2022     12:00 PM   Final Deliverable due
ENGL 1183 105    5/19/2022     12:00 PM   Final Deliverable due
ENGL 1183 106    5/19/2022      4:30 PM   Final Deliverable due
ENGL 1183 107    5/18/2022      4:30 PM   Final Deliverable due
ENGL 1191 101    5/19/2022      4:30 PM   Final Deliverable due
ENGL 1191 102    5/19/2022      4:30 PM   Final Deliverable due
ENGL 2020 001    5/21/2022      9:00 AM   Rockefeller Hall 103
ENGL 2080 001    5/17/2022     12:00 PM   Final Deliverable due
ENGL 2620 001    5/18/2022     12:00 PM   Final Deliverable due
ENGL 2675 001    5/17/2022      2:00 PM   Goldwin Smith Hall 142
ENGL 2703 001    5/17/2022      4:30 PM   Final Deliverable due
ENGL 2725 001    5/19/2022      4:30 PM   Final Deliverable due
ENGL 2730 001    5/16/2022     12:00 PM   Final Deliverable due
ENGL 2735 101    5/18/2022     12:00 PM   Final Deliverable due
ENGL 2755 101    5/18/2022      4:30 PM   Final Deliverable due
ENGL 2810 101    5/17/2022     12:00 PM   Final Deliverable due
ENGL 2810 102    5/18/2022     12:00 PM   Final Deliverable due
ENGL 2810 103    5/18/2022     12:00 PM   Final Deliverable due
ENGL 2810 104    5/17/2022      4:30 PM   Final Deliverable due
ENGL 2810 105    5/18/2022      4:30 PM   Final Deliverable due
ENGL 2810 106    5/16/2022     12:00 PM   Final Deliverable due
ENGL 2810 107    5/17/2022      4:30 PM   Final Deliverable due
ENGL 2810 108    5/16/2022     12:00 PM   Final Deliverable due
ENGL 2810 110    5/17/2022     12:00 PM   Final Deliverable due
ENGL 2810 111    5/17/2022     12:00 PM   Final Deliverable due
ENGL 2810 112    5/18/2022     12:00 PM   Final Deliverable due
ENGL 2810 113    5/18/2022     12:00 PM   Final Deliverable due
ENGL 2810 114    5/17/2022      4:30 PM   Final Deliverable due
ENGL 2810 115    5/18/2022      4:30 PM   Final Deliverable due
ENGL 2890 101    5/17/2022     12:00 PM   Final Deliverable due
ENGL 2890 102    5/16/2022     12:00 PM   Final Deliverable due
ENGL 2890 103    5/18/2022      4:30 PM   Final Deliverable due
ENGL 2890 104    5/18/2022     12:00 PM   Final Deliverable due
ENGL 2890 105    5/18/2022      4:30 PM   Final Deliverable due
ENGL 2890 106    5/16/2022     12:00 PM   Final Deliverable due
ENGL 2950 101    5/18/2022     12:00 PM   Final Deliverable due
ENGL 2950 103    5/19/2022      4:30 PM   Final Deliverable due
ENGL 3021 001    5/17/2022      9:00 AM   Online Exam
ENGL 3080 101    5/19/2022      7:00 PM   Rockefeller Hall 230
ENGL 3120 101    5/15/2022      2:00 PM   Goldwin Smith Hall 236
ENGL 3270 101    5/18/2022     12:00 PM   Final Deliverable due
ENGL 3320 101    5/18/2022      4:30 PM   Final Deliverable due
ENGL 3370 101    5/19/2022      4:30 PM   Final Deliverable due
ENGL 3440 101    5/18/2022      4:30 PM   Final Deliverable due
ENGL 3550 001    5/16/2022     12:00 PM   Final Deliverable due
ENGL 3615 101    5/18/2022      4:30 PM   Final Deliverable due
ENGL 3625 101    5/16/2022     12:00 PM   Final Deliverable due
ENGL 3660 101    5/17/2022      4:30 PM   Final Deliverable due
ENGL 3675 001    5/16/2022     12:00 PM   Final Deliverable due
ENGL 3734 101    5/19/2022      4:30 PM   Final Deliverable due
ENGL 3741 104    5/17/2022      4:30 PM   Final Deliverable due
ENGL 3742 101    5/17/2022     12:00 PM   Final Deliverable due
ENGL 3830 101    5/17/2022      4:30 PM   Final Deliverable due
ENGL 3830 102    5/17/2022      4:30 PM   Final Deliverable due
ENGL 3830 103    5/16/2022     12:00 PM   Final Deliverable due
ENGL 3890 101    5/17/2022      4:30 PM   Final Deliverable due
ENGL 3913 001    5/16/2022     12:00 PM   Final Deliverable due
ENGL 3950 101    5/19/2022      7:00 PM   McGraw Hall 165
ENGL 4260 101    5/18/2022     12:00 PM   Final Deliverable due
ENGL 4405 101    5/17/2022      4:30 PM   Final Deliverable due
ENGL 4605 101    5/17/2022      4:30 PM   Final Deliverable due
ENGL 4615 101    5/18/2022     12:00 PM   Final Deliverable due
ENGL 4700 101    5/19/2022      4:30 PM   Final Deliverable due
ENGL 4708 101    5/16/2022     12:00 PM   Final Deliverable due
ENGL 4810 101    5/19/2022      4:30 PM   Final Deliverable due
ENGL 4811 101    5/16/2022     12:00 PM   Final Deliverable due
ENGL 4811 102    5/18/2022     12:00 PM   Final Deliverable due
ENGL 4920 101    5/18/2022     12:00 PM   Final Deliverable due
ENGL 4928 101    5/16/2022     12:00 PM   Final Deliverable due
ENGL 6120 101    5/15/2022      2:00 PM   Goldwin Smith Hall 236
ENGL 6350 101    5/17/2022      4:30 PM   Final Deliverable due
ENGL 6602 101    5/17/2022      4:30 PM   Final Deliverable due
ENGL 6708 101    5/16/2022     12:00 PM   Final Deliverable due
ENGL 6919 101    5/16/2022     12:00 PM   Final Deliverable due

ENGRC 3120 001   5/18/2022     12:00 PM   Final Deliverable due
ENGRC 3120 002   5/17/2022     12:00 PM   Final Deliverable due
ENGRC 3120 003   5/18/2022     12:00 PM   Final Deliverable due
ENGRC 3120 004   5/18/2022     12:00 PM   Final Deliverable due
ENGRC 3120 005   5/18/2022      4:30 PM   Final Deliverable due

ENGRD 2020 001   5/16/2022      9:00 AM   Kimball Hall B11
ENGRD 2100 001   5/14/2022      2:00 PM   Thurston Hall 203
ENGRD 2110 001   5/16/2022      9:00 AM   Barton Hall 100 Center, Barton Hall 100 East, Barton Hall 100 West
ENGRD 2250 001   5/20/2022      2:00 PM   Phillips Hall 203
ENGRD 2300 001   5/19/2022      7:00 PM   Olin Hall 255
ENGRD 2620 001   5/17/2022      2:00 PM   Olin Hall 165
ENGRD 2700 001   5/19/2022      7:00 PM   Uris Hall G01
ENGRD 2720 001   5/16/2022      7:00 PM   Kimball Hall B11
ENGRD 3200 001   5/19/2022      7:00 PM   Hollister Hall B14

ENGRG 2350 001   5/14/2022      9:00 AM   Upson Hall 146
ENGRG 2350 003   5/20/2022      2:00 PM   Upson Hall 202
ENGRG 2750 001   5/18/2022     12:00 PM   Final Deliverable due
ENGRG 3230 001   5/16/2022      2:00 PM   Phillips Hall 101
ENGRG 3600 001   5/16/2022     12:00 PM   Final Deliverable due
ENGRG 3900 001   5/20/2022      2:00 PM   Upson Hall 222
ENGRG 4610 001   5/16/2022      9:00 AM   Olin Hall 165

ENGRI 1100 001   5/16/2022      9:00 AM   Physical Sciences 120
ENGRI 1101 001   5/16/2022      2:00 PM   Hollister Hall B14
ENGRI 1130 001   5/14/2022      2:00 PM   Olin Hall 255
ENGRI 1190 001   5/16/2022      9:00 AM   Online Exam
ENGRI 1210 001   5/15/2022      2:00 PM   Klarman Hall KG70

ENMGT 5900 001   5/17/2022      2:00 PM   Olin Hall 155
ENMGT 5900 002   5/17/2022      tba       Remote Proctored Exam 
ENMGT 5960 001   5/16/2022      7:00 PM   Olin Hall 255
ENMGT 5960 002   5/16/2022      2:00 PM   Thurston Hall 202
ENMGT 6091 101   5/21/2022      9:00 AM   Olin Hall 155
ENMGT 6091 102   5/17/2022      9:00 AM   Thurston Hall 202

ENTOM 2010 001   5/17/2022      4:30 PM   Final Deliverable due
ENTOM 2011 001   5/17/2022      4:30 PM   Final Deliverable due
ENTOM 3030 401   5/21/2022      9:00 AM   Goldwin Smith Hall 142
ENTOM 3690 001   5/18/2022      9:00 AM   Warren Hall 151
ENTOM 3755 001   5/15/2022      2:00 PM   Comstock Hall 2123
ENTOM 4440 001   5/14/2022      9:00 AM   Warren Hall 151
ENTOM 4830 001   5/16/2022      7:00 PM   Comstock Hall B108
ENTOM 4900 001   5/17/2022      2:00 PM   Fernow Hall G01
ENTOM 4940 001   5/20/2022      2:00 PM   Comstock Hall 2123
ENTOM 5440 001   5/14/2022      9:00 AM   Warren Hall 151

ENVS 2600 001    5/16/2022     12:00 PM   Final Deliverable due

FDSC 1500 001    5/15/2022      2:00 PM   Riley-Robb Hall 125
FDSC 2100 001    5/17/2022      9:00 AM   Stocking Hall 146
FDSC 2110 201    5/16/2022      9:00 AM   Riley-Robb Hall 105
FDSC 2360 001    5/14/2022      2:00 PM   Plant Science Building 233
FDSC 3960 001    5/15/2022      7:00 PM   Riley-Robb Hall 125
FDSC 4000 001    5/18/2022      2:00 PM   Stocking Hall 146
FDSC 4010 001    5/20/2022      2:00 PM   Riley-Robb Hall 105
FDSC 4040 001    5/16/2022      2:00 PM   Stocking Hall 146
FDSC 4170 001    5/18/2022      7:00 PM   Stocking Hall 146
FDSC 4190 401    5/19/2022      2:00 PM   Stocking Hall 202
FDSC 4220 001    5/19/2022      7:00 PM   Stocking Hall 202
FDSC 4250 001    5/14/2022      2:00 PM   Warren Hall 150
FDSC 4250 002    5/14/2022      2:00 PM   Warren Hall 150
FDSC 4280 001    5/16/2022      2:00 PM   Stocking Hall M01
FDSC 5010 001    5/20/2022      2:00 PM   Riley-Robb Hall 105
FDSC 5360 001    5/14/2022      2:00 PM   Plant Science Building 233
FDSC 5960 001    5/15/2022      7:00 PM   Riley-Robb Hall 125
FDSC 6040 001    5/16/2022      2:00 PM   Stocking Hall 146
FDSC 6170 001    5/18/2022      7:00 PM   Stocking Hall 146
FDSC 6220 001    5/19/2022      7:00 PM   Stocking Hall 202
FDSC 6250 001    5/14/2022      2:00 PM   Warren Hall 150
FDSC 6250 002    5/14/2022      2:00 PM   Warren Hall 150
FDSC 6280 001    5/16/2022      2:00 PM   Stocking Hall M01

FGSS 2290 001    5/19/2022      4:30 PM   Final Deliverable due
FGSS 2460 101    5/17/2022     12:00 PM   Final Deliverable due
FGSS 2468 001    5/18/2022     12:00 PM   Final Deliverable due
FGSS 2512 001    5/18/2022      4:30 PM   Final Deliverable due
FGSS 2932 001    5/19/2022      4:30 PM   Final Deliverable due
FGSS 3210 001    5/16/2022     12:00 PM   Final Deliverable due
FGSS 3350 101    5/19/2022      7:00 PM   McGraw Hall 165
FGSS 3550 001    5/16/2022     12:00 PM   Final Deliverable due
FGSS 3721 001    5/19/2022      4:30 PM   Final Deliverable due
FGSS 4000 101    5/18/2022     12:00 PM   Final Deliverable due
FGSS 4035 001    5/19/2022     12:00 PM   Final Deliverable due
FGSS 4155 101    5/19/2022      4:30 PM   Final Deliverable due
FGSS 4231 101    5/20/2022      2:00 PM   White Hall 110
